id,type_of_attribute,trait
432,weaknesses          ,unresponsive
3,sTrengtHS       ,early starter
81,sTrengtHS       ,good teacher
362,wEaKNeSSes       ,unprepared
146,   WEAKNESSEs    ,cutthroat
47,  sTRENgths  ,team player
261,sTrEnGthS ,knowledgeable
185,sTrEnGthS ,good teacher
330,   StreNgtHs   ,honest
257,    weaKnEsses     ,procrastinator
8,    weaKnEsses     ,procrastinator
390,  sTRENgths  ,prepared
348, strengths,quick learner
363,sTrEnGthS ,prepared
51,   wEAknESses    ,controlling
216,strengths    ,team player
276,   StreNgtHs   ,quick learner
217,       STRENGTHS  ,good leader
141,   StreNgtHs   ,good leader
346,   stREngtHs     ,prepared
496,sTrengtHS       ,knowledgeable
46,   wEAknESses    ,unavailable
172,  sTRENgths  ,early starter
188,   StreNgtHs   ,knowledgeable
451,strengths      ,quick learner
393,   stREngtHs     ,team player
75,       STRENGTHS  ,knowledgeable
440,sTRENgths    ,prepared
321,sTRENgths    ,good leader
171,sTRENgths    ,good leader
454,strengths    ,prepared
90, weaKnesses ,unprepared
130,strengths    ,prepared
500,   wEAknESses    ,procrastinator
271,   WEAKNESSEs    ,dishonest
331, strengths,good teacher
324,   WEAKnessES   ,cutthroat
329,   stREngtHs     ,friendly
364,   stREngtHs     ,good leader
299,   WeAkNeSsEs ,unfriendly
265, strengths,quick learner
360,sTRENgths    ,quick learner
393,sTrengtHS       ,friendly
74,sTrEnGthS ,team player
137,       STRENGTHS  ,team player
330,sTrengtHS       ,quick learner
57,strengths    ,quick learner
380,sTrengtHS       ,team player
8,   stREngtHs     ,good leader
127,sTRENgths    ,good leader
321,sTRENgths    ,friendly
268, weaKnesses ,unavailable
117,strengths      ,team player
93,   stREngtHs     ,good teacher
467,weaknesses          ,unresponsive
213,    weaKnEsses     ,dishonest
204,   WEAKnessES   ,dishonest
1,   WeAkNeSsEs ,dishonest
149,   stREngtHs     ,early starter
37,  sTRENgths  ,friendly
83,sTRENgths    ,quick learner
406,wEaKNeSSes       ,cutthroat
16,sTrEnGthS ,quick learner
82,   stREngtHs     ,good leader
242,   StreNgtHs   ,honest
107,       STRENGTHS  ,early starter
456,    WeaKNeSSeS     ,late
431,sTrEnGthS ,good leader
134,   StreNgtHs   ,team player
145,sTRENgths    ,team player
121,  sTRENgths  ,good teacher
288,strengths    ,good teacher
411,  sTRENgths  ,knowledgeable
137,   StreNgtHs   ,friendly
449,weaknesses          ,procrastinator
301,   WEAKNESSEs    ,late
103,   wEAknESses    ,unfriendly
130,   stREngtHs     ,honest
239,sTRENgths    ,friendly
422,  sTRENgths  ,good leader
180,strengths    ,prepared
361,       STRENGTHS  ,knowledgeable
183,strengths    ,good leader
223,strengths    ,quick learner
218, strengths,friendly
497,sTRENgths    ,honest
153,    WeaKNeSSeS     ,controlling
20,wEaKNeSSes       ,unavailable
448,sTRENgths    ,prepared
8,strengths    ,honest
343,strengths      ,quick learner
155,       STRENGTHS  ,prepared
53,strengths    ,quick learner
17,    weaKnEsses     ,dishonest
146,    WeaKNeSSeS     ,controlling
356,   stREngtHs     ,early starter
2,sTrengtHS       ,good leader
448,strengths    ,friendly
351, strengths,early starter
64,   stREngtHs     ,early starter
371,sTRENgths    ,early starter
24,sTrEnGthS ,good teacher
304,    WeaKNeSSeS     ,late
254,strengths      ,knowledgeable
463,   stREngtHs     ,prepared
22,sTrengtHS       ,prepared
250,sTRENgths    ,team player
307,wEaKNeSSes       ,unfriendly
378,    weaKnEsses     ,unfriendly
360,sTrengtHS       ,team player
245,wEaKNeSSes       ,controlling
175,   WEAKnessES   ,unfriendly
331,   StreNgtHs   ,team player
344,   stREngtHs     ,quick learner
29,WEAKNESSES,unresponsive
90,   StreNgtHs   ,knowledgeable
134,WEAKNESSES,unresponsive
493,strengths    ,prepared
75, strengths,friendly
88,   StreNgtHs   ,knowledgeable
251,sTrengtHS       ,early starter
140, weaKnesses ,unprepared
336,  sTRENgths  ,prepared
194,sTrengtHS       ,good teacher
18,   stREngtHs     ,good leader
256,sTrEnGthS ,team player
228,   stREngtHs     ,early starter
273,   WeAkNeSsEs ,procrastinator
258,sTrengtHS       ,honest
130,sTrEnGthS ,good leader
21,       STRENGTHS  ,prepared
25,   WEAKnessES   ,dishonest
23,   StreNgtHs   ,prepared
254,strengths    ,friendly
384,WEAKNESSES,unavailable
24,   stREngtHs     ,honest
492,   StreNgtHs   ,early starter
170,sTRENgths    ,knowledgeable
471,sTRENgths    ,honest
347,weaknesses          ,cutthroat
86,strengths    ,knowledgeable
434,   WEAKNESSEs    ,unfriendly
311,sTrEnGthS ,early starter
360,       STRENGTHS  ,good teacher
437,strengths      ,team player
38,   WEAKNESSEs    ,unresponsive
181,   StreNgtHs   ,prepared
174,sTRENgths    ,good teacher
198,sTrEnGthS ,good leader
114,wEaKNeSSes       ,dishonest
383, strengths,knowledgeable
212,sTrEnGthS ,prepared
239,sTRENgths    ,knowledgeable
78,sTrengtHS       ,honest
439,sTrEnGthS ,good teacher
111,       STRENGTHS  ,good teacher
42,strengths      ,early starter
439,strengths      ,honest
360,    weaKnEsses     ,cutthroat
230, weaKnesses ,dishonest
12,  sTRENgths  ,friendly
206,   WEAKNESSEs    ,unfriendly
224,   StreNgtHs   ,knowledgeable
308,   stREngtHs     ,knowledgeable
380,       STRENGTHS  ,good teacher
127,    weaKnEsses     ,procrastinator
153,  sTRENgths  ,knowledgeable
288,sTrEnGthS ,team player
346,sTrengtHS       ,friendly
445,   stREngtHs     ,knowledgeable
362,  sTRENgths  ,knowledgeable
75,wEaKNeSSes       ,unprepared
403,   WEAKNESSEs    ,unprepared
490,   StreNgtHs   ,honest
436,  sTRENgths  ,prepared
129,sTrengtHS       ,friendly
203,   stREngtHs     ,good teacher
118,sTRENgths    ,quick learner
101,sTrengtHS       ,good leader
406,   WEAKNESSEs    ,unavailable
78,   WEAKnessES   ,late
125,sTrengtHS       ,honest
329,wEaKNeSSes       ,unresponsive
488,    weaKnEsses     ,unprepared
63, strengths,team player
113,sTrengtHS       ,friendly
343,strengths    ,prepared
237,sTrengtHS       ,good leader
117,   StreNgtHs   ,knowledgeable
120,sTrEnGthS ,friendly
224, strengths,honest
209,strengths      ,good leader
293,strengths      ,good teacher
151, strengths,honest
400,   wEAknESses    ,late
267,WEAKNESSES,cutthroat
21,   stREngtHs     ,quick learner
404,   WEAKnessES   ,unprepared
31,strengths      ,knowledgeable
5,    WeaKNeSSeS     ,unprepared
461,sTrengtHS       ,good leader
353,sTrengtHS       ,good teacher
477,   WEAKNESSEs    ,unresponsive
446,strengths    ,good teacher
290,   StreNgtHs   ,knowledgeable
61,  sTRENgths  ,quick learner
276,    weaKnEsses     ,cutthroat
275,strengths      ,prepared
415, strengths,good leader
210,   WEAKNESSEs    ,late
294,WEAKNESSES,late
417,sTrengtHS       ,good leader
436,   WeAkNeSsEs ,late
484,sTrEnGthS ,honest
333,strengths      ,prepared
202,   WEAKnessES   ,late
271,WEAKNESSES,unresponsive
433,strengths    ,knowledgeable
200,       STRENGTHS  ,prepared
236, strengths,early starter
92,   WeAkNeSsEs ,cutthroat
198,  sTRENgths  ,early starter
276,WEAKNESSES,unfriendly
205,   wEAknESses    ,cutthroat
189,strengths    ,good leader
353,       STRENGTHS  ,friendly
251,strengths    ,good leader
97,   StreNgtHs   ,friendly
19,sTrEnGthS ,early starter
278,weaknesses          ,unavailable
408,wEaKNeSSes       ,unprepared
131, strengths,team player
10, weaKnesses ,unresponsive
465,strengths    ,early starter
169,strengths    ,good teacher
490,sTrEnGthS ,good teacher
416, strengths,early starter
14,  sTRENgths  ,honest
403,  sTRENgths  ,knowledgeable
210,   stREngtHs     ,honest
309,weaknesses          ,unavailable
163,sTrEnGthS ,good leader
296,       STRENGTHS  ,honest
279,    weaKnEsses     ,unprepared
345,   stREngtHs     ,good teacher
145,   WeAkNeSsEs ,unresponsive
317,strengths    ,good leader
253,   stREngtHs     ,knowledgeable
102, strengths,good teacher
384,   StreNgtHs   ,friendly
108,    weaKnEsses     ,cutthroat
131,   StreNgtHs   ,good leader
15,  sTRENgths  ,honest
153,       STRENGTHS  ,team player
479,   stREngtHs     ,quick learner
316,   stREngtHs     ,friendly
293,    WeaKNeSSeS     ,unfriendly
409,   WEAKNESSEs    ,unprepared
70,   StreNgtHs   ,honest
243,sTRENgths    ,good teacher
68,strengths      ,good leader
391,sTrengtHS       ,early starter
15, strengths,good leader
131,   WeAkNeSsEs ,unresponsive
482,strengths      ,early starter
84,wEaKNeSSes       ,cutthroat
372,   StreNgtHs   ,friendly
137,strengths    ,quick learner
13,sTrEnGthS ,team player
334,   StreNgtHs   ,early starter
32,strengths      ,good teacher
224,    WeaKNeSSeS     ,unprepared
21,   WeAkNeSsEs ,dishonest
340,  sTRENgths  ,friendly
462,   StreNgtHs   ,prepared
136,    WeaKNeSSeS     ,late
431,   WEAKnessES   ,controlling
347,sTRENgths    ,good teacher
339,  sTRENgths  ,quick learner
229,strengths    ,friendly
207, weaKnesses ,unprepared
286,       STRENGTHS  ,quick learner
327,sTrengtHS       ,friendly
158,weaknesses          ,procrastinator
343,sTrEnGthS ,early starter
358,sTRENgths    ,quick learner
124,   StreNgtHs   ,early starter
337,WEAKNESSES,unfriendly
64,   stREngtHs     ,team player
388,sTrEnGthS ,early starter
42,strengths    ,knowledgeable
328,WEAKNESSES,procrastinator
469,   wEAknESses    ,unprepared
94, strengths,knowledgeable
361, weaKnesses ,procrastinator
233,WEAKNESSES,unfriendly
345,sTRENgths    ,knowledgeable
69,weaknesses          ,cutthroat
460,    WeaKNeSSeS     ,procrastinator
392,strengths      ,friendly
500,strengths      ,friendly
294,   stREngtHs     ,team player
237,   StreNgtHs   ,friendly
488, strengths,quick learner
46,sTRENgths    ,honest
109,   wEAknESses    ,late
175,    weaKnEsses     ,procrastinator
403,   stREngtHs     ,quick learner
148,sTrEnGthS ,early starter
493,strengths      ,honest
226,    WeaKNeSSeS     ,unresponsive
264,   StreNgtHs   ,honest
374,    WeaKNeSSeS     ,late
410,       STRENGTHS  ,friendly
4,   StreNgtHs   ,good leader
182,sTrEnGthS ,quick learner
413,    weaKnEsses     ,controlling
112,weaknesses          ,unfriendly
260,   StreNgtHs   ,knowledgeable
18,weaknesses          ,unprepared
436,       STRENGTHS  ,early starter
140,sTrEnGthS ,honest
325,sTrengtHS       ,friendly
318,   WeAkNeSsEs ,dishonest
455,sTrEnGthS ,good leader
186, weaKnesses ,dishonest
284,   WEAKNESSEs    ,controlling
222,   StreNgtHs   ,knowledgeable
166,WEAKNESSES,cutthroat
136,   stREngtHs     ,good teacher
404,   stREngtHs     ,honest
452,       STRENGTHS  ,early starter
186,strengths      ,prepared
228,   stREngtHs     ,good teacher
156, weaKnesses ,late
440,strengths      ,good teacher
278,   stREngtHs     ,knowledgeable
83, strengths,good leader
166,   WEAKnessES   ,procrastinator
342,   stREngtHs     ,good teacher
10,   WeAkNeSsEs ,unavailable
175, strengths,honest
24,   WeAkNeSsEs ,procrastinator
287,   WEAKnessES   ,dishonest
443,WEAKNESSES,cutthroat
223,sTrengtHS       ,good teacher
460,       STRENGTHS  ,team player
469,  sTRENgths  ,prepared
457,       STRENGTHS  ,honest
279,       STRENGTHS  ,knowledgeable
110,WEAKNESSES,unfriendly
101,weaknesses          ,unavailable
323,weaknesses          ,unprepared
259,strengths    ,early starter
48,  sTRENgths  ,prepared
319,       STRENGTHS  ,prepared
7, strengths,knowledgeable
327,       STRENGTHS  ,knowledgeable
363,sTrengtHS       ,honest
450,   stREngtHs     ,early starter
471,strengths    ,early starter
444,   WeAkNeSsEs ,dishonest
373,strengths    ,early starter
396,   stREngtHs     ,quick learner
394,       STRENGTHS  ,early starter
457,sTrengtHS       ,team player
359,sTrengtHS       ,early starter
316, strengths,honest
6,weaknesses          ,cutthroat
417,WEAKNESSES,unprepared
