id,skill
353,front-end
307,algorithms
37,front-end
364,front-end
18,data structures
478,front-end
9,commenting
409,front-end
245,commenting
20,testing
340,front-end
332,testing
271,front-end
416,data structures
239,commenting
210,data structures
451,OOP
36,data structures
49,testing
101,front-end
288,data structures
101,algorithms
115,front-end
449,commenting
165,front-end
32,data structures
289,data structures
421,commenting
91,data structures
477,data structures
22,front-end
288,testing
310,algorithms
255,front-end
339,algorithms
244,front-end
253,algorithms
188,front-end
177,algorithms
312,OOP
274,commenting
282,testing
399,testing
215,front-end
196,algorithms
123,commenting
363,algorithms
130,testing
246,OOP
309,OOP
245,front-end
33,testing
42,commenting
232,algorithms
447,algorithms
304,OOP
300,algorithms
59,commenting
375,front-end
445,front-end
188,algorithms
331,testing
56,testing
103,commenting
84,front-end
9,data structures
481,data structures
16,testing
448,OOP
204,data structures
313,commenting
165,algorithms
31,algorithms
306,algorithms
212,front-end
47,data structures
182,commenting
467,data structures
339,OOP
282,algorithms
176,data structures
321,testing
12,OOP
434,front-end
236,data structures
249,front-end
149,front-end
252,testing
190,commenting
235,algorithms
54,commenting
451,front-end
473,commenting
293,OOP
53,data structures
132,front-end
81,data structures
310,front-end
222,data structures
498,front-end
121,commenting
105,algorithms
487,testing
343,algorithms
115,OOP
384,testing
150,testing
311,front-end
497,front-end
130,commenting
494,commenting
335,testing
308,commenting
325,front-end
72,commenting
159,OOP
470,testing
341,front-end
285,OOP
307,testing
92,testing
329,algorithms
359,testing
33,algorithms
48,algorithms
179,data structures
148,front-end
155,testing
460,data structures
221,data structures
379,front-end
22,commenting
453,commenting
95,OOP
384,OOP
496,OOP
382,testing
371,OOP
255,algorithms
485,OOP
231,testing
471,commenting
426,commenting
374,algorithms
322,testing
104,front-end
226,data structures
440,data structures
376,front-end
194,front-end
398,commenting
112,data structures
462,OOP
18,OOP
155,front-end
27,OOP
434,algorithms
242,commenting
428,data structures
243,commenting
173,OOP
20,commenting
136,data structures
313,front-end
439,testing
427,data structures
178,testing
428,OOP
336,data structures
338,algorithms
193,algorithms
384,front-end
335,data structures
240,data structures
489,OOP
62,commenting
432,OOP
7,front-end
3,data structures
123,testing
209,data structures
93,data structures
78,commenting
240,front-end
26,data structures
5,algorithms
51,data structures
24,algorithms
270,algorithms
114,data structures
19,front-end
430,OOP
367,front-end
61,front-end
142,data structures
113,testing
458,data structures
235,OOP
316,data structures
448,data structures
435,data structures
168,commenting
143,testing
268,OOP
286,commenting
475,testing
415,algorithms
189,commenting
188,testing
499,front-end
139,commenting
207,testing
488,commenting
127,commenting
86,OOP
213,testing
480,algorithms
116,data structures
341,algorithms
183,OOP
346,front-end
230,testing
194,OOP
372,testing
139,algorithms
49,OOP
51,OOP
375,OOP
273,algorithms
124,algorithms
184,algorithms
462,data structures
239,OOP
266,data structures
87,testing
277,OOP
452,commenting
354,data structures
331,commenting
217,commenting
56,algorithms
461,OOP
36,OOP
166,OOP
424,testing
386,data structures
492,commenting
47,commenting
72,front-end
50,commenting
465,data structures
127,data structures
164,testing
69,algorithms
429,testing
289,OOP
457,data structures
394,OOP
473,data structures
197,algorithms
8,data structures
281,testing
392,OOP
179,OOP
276,OOP
287,testing
66,data structures
103,algorithms
353,data structures
120,testing
276,testing
205,front-end
312,data structures
6,OOP
349,testing
449,algorithms
190,algorithms
70,OOP
295,data structures
387,OOP
256,testing
407,commenting
219,data structures
435,OOP
353,commenting
440,OOP
166,commenting
396,data structures
225,commenting
269,testing
27,front-end
51,testing
105,data structures
253,testing
151,OOP
110,commenting
5,commenting
86,commenting
283,front-end
269,algorithms
206,commenting
236,commenting
433,algorithms
272,commenting
195,testing
19,commenting
297,OOP
454,OOP
202,data structures
110,testing
450,OOP
478,testing
244,commenting
107,data structures
388,algorithms
134,algorithms
263,testing
166,data structures
222,testing
1,front-end
397,commenting
104,algorithms
251,testing
378,testing
88,testing
71,commenting
45,testing
275,algorithms
491,front-end
90,algorithms
412,testing
446,testing
302,testing
6,commenting
35,algorithms
192,algorithms
386,testing
270,front-end
278,OOP
140,data structures
421,OOP
132,data structures
466,commenting
88,OOP
406,algorithms
234,OOP
469,OOP
157,OOP
103,data structures
402,front-end
92,commenting
205,commenting
117,testing
124,data structures
55,algorithms
267,OOP
416,testing
289,algorithms
377,algorithms
258,OOP
337,OOP
420,data structures
40,testing
87,data structures
63,data structures
441,data structures
315,front-end
198,commenting
85,commenting
15,algorithms
71,front-end
248,algorithms
407,front-end
189,OOP
160,algorithms
491,commenting
352,front-end
187,data structures
106,OOP
21,OOP
131,front-end
61,OOP
251,data structures
99,data structures
120,algorithms
278,commenting
43,testing
76,OOP
171,commenting
342,algorithms
172,data structures
324,OOP
462,testing
430,commenting
306,testing
217,testing
160,OOP
498,data structures
497,OOP
466,data structures
393,algorithms
377,OOP
106,algorithms
171,algorithms
185,algorithms
324,algorithms
446,OOP
422,commenting
99,OOP
320,testing
322,data structures
144,data structures
400,data structures
41,testing
85,algorithms
202,commenting
453,front-end
249,data structures
125,commenting
118,algorithms
208,front-end
199,testing
43,algorithms
294,front-end
177,front-end
345,commenting
41,front-end
444,OOP
126,commenting
454,commenting
142,front-end
437,data structures
298,data structures
202,front-end
275,data structures
325,OOP
228,testing
387,algorithms
22,data structures
318,OOP
471,data structures
193,commenting
81,front-end
417,front-end
153,data structures
199,commenting
153,OOP
459,testing
195,commenting
152,algorithms
83,OOP
135,commenting
200,OOP
286,data structures
241,front-end
50,front-end
246,data structures
492,testing
77,front-end
102,front-end
133,OOP
389,OOP
391,algorithms
212,commenting
420,testing
168,data structures
288,front-end
262,testing
244,data structures
238,front-end
299,algorithms
411,data structures
113,OOP
82,OOP
161,OOP
52,front-end
94,front-end
269,OOP
422,algorithms
298,commenting
57,testing
213,commenting
481,front-end
362,front-end
425,algorithms
383,commenting
431,data structures
233,data structures
201,OOP
499,algorithms
99,front-end
465,algorithms
455,data structures
