id,interest
77,music
204,film/photography
281,business
474,film/photography
296,literature
132,theatre
336,literature
29,literature
76,business
249,film/photography
122,literature
228,music
263,music
330,music
463,business
32,literature
278,theatre
32,music
256,business
310,theatre
240,film/photography
347,mathematics
123,literature
5,business
349,film/photography
470,literature
83,business
333,theatre
304,politics
328,music
18,theatre
12,politics
483,business
259,mathematics
338,film/photography
331,film/photography
308,film/photography
265,business
126,politics
404,theatre
89,film/photography
448,politics
492,theatre
121,literature
133,mathematics
202,literature
169,politics
483,music
160,politics
374,politics
463,film/photography
65,business
353,theatre
438,business
257,mathematics
496,film/photography
366,film/photography
456,literature
105,business
460,music
196,music
41,politics
220,film/photography
460,theatre
22,literature
89,literature
287,business
438,literature
12,literature
390,politics
336,politics
110,literature
197,literature
394,literature
42,literature
433,business
64,mathematics
437,theatre
165,theatre
459,literature
337,mathematics
61,politics
125,business
202,music
486,literature
112,politics
69,mathematics
339,politics
357,business
185,music
492,film/photography
138,business
137,business
477,literature
225,music
56,film/photography
228,mathematics
67,film/photography
307,mathematics
445,business
326,literature
231,literature
5,music
496,music
266,theatre
43,music
411,music
423,business
323,mathematics
381,mathematics
352,theatre
474,literature
131,theatre
51,politics
362,mathematics
57,business
338,business
20,mathematics
449,literature
415,music
362,film/photography
457,business
326,film/photography
179,politics
256,theatre
162,politics
136,literature
209,theatre
37,mathematics
309,mathematics
247,literature
253,music
56,mathematics
201,politics
148,film/photography
115,theatre
495,business
285,business
302,business
112,theatre
478,literature
184,politics
304,literature
475,mathematics
92,politics
251,politics
212,literature
391,film/photography
466,politics
158,literature
237,theatre
30,politics
228,literature
93,literature
271,politics
87,music
60,business
393,theatre
298,business
307,business
447,business
156,politics
65,mathematics
110,business
40,music
342,film/photography
274,literature
195,literature
430,theatre
48,music
126,theatre
37,politics
485,music
480,theatre
465,politics
272,politics
56,literature
155,politics
226,business
145,politics
408,music
338,politics
417,theatre
449,business
55,mathematics
24,mathematics
346,theatre
405,film/photography
172,politics
261,business
205,politics
195,theatre
27,business
192,mathematics
97,mathematics
98,theatre
4,literature
203,politics
154,literature
225,business
330,mathematics
317,politics
187,literature
7,film/photography
286,mathematics
243,music
61,literature
132,film/photography
328,film/photography
341,mathematics
411,politics
136,theatre
72,politics
385,politics
442,literature
251,literature
490,film/photography
342,politics
148,music
314,mathematics
416,theatre
358,business
268,theatre
340,business
412,theatre
497,music
445,theatre
230,literature
113,film/photography
57,film/photography
293,theatre
412,mathematics
77,politics
448,mathematics
182,politics
411,business
31,mathematics
485,film/photography
170,film/photography
489,literature
399,theatre
11,film/photography
290,mathematics
465,film/photography
490,politics
266,music
196,politics
312,film/photography
457,theatre
91,business
180,mathematics
142,politics
375,music
376,theatre
429,music
299,mathematics
461,music
146,business
13,music
167,film/photography
9,film/photography
279,business
39,literature
176,theatre
180,literature
14,theatre
347,theatre
432,mathematics
464,politics
138,film/photography
475,music
40,film/photography
190,theatre
69,music
106,politics
393,film/photography
1,politics
500,business
334,mathematics
153,film/photography
320,mathematics
498,film/photography
219,business
169,film/photography
241,literature
428,politics
426,literature
426,business
133,literature
199,theatre
53,film/photography
316,music
123,film/photography
215,mathematics
142,film/photography
469,mathematics
247,mathematics
352,mathematics
354,theatre
453,mathematics
431,music
166,music
410,business
409,politics
122,mathematics
211,business
30,film/photography
408,business
151,literature
108,music
45,literature
47,mathematics
370,theatre
178,business
488,literature
301,film/photography
410,music
302,theatre
373,literature
135,music
175,theatre
236,music
255,business
379,literature
458,politics
140,politics
175,literature
293,mathematics
85,literature
423,literature
1,music
25,literature
112,literature
107,film/photography
248,mathematics
70,mathematics
108,film/photography
426,mathematics
109,music
345,mathematics
162,film/photography
270,mathematics
103,business
472,theatre
86,politics
282,business
377,music
254,theatre
220,theatre
25,theatre
331,music
257,business
94,theatre
82,literature
425,mathematics
494,music
480,politics
494,mathematics
471,politics
304,film/photography
279,theatre
291,music
170,music
189,music
452,business
482,politics
281,music
220,music
338,mathematics
149,mathematics
391,mathematics
119,politics
403,theatre
65,literature
88,politics
61,theatre
233,theatre
9,mathematics
283,business
131,film/photography
356,politics
91,mathematics
494,literature
359,politics
267,literature
316,theatre
321,politics
489,politics
380,film/photography
462,theatre
455,business
376,business
47,music
92,literature
147,mathematics
487,theatre
128,literature
221,politics
400,business
237,business
384,mathematics
193,film/photography
264,music
301,politics
134,literature
128,politics
