id,interest
40,business
51,theatre
15,music
43,theatre
23,literature
45,film/photography
55,film/photography
40,film/photography
37,theatre
57,theatre
10,film/photography
10,mathematics
26,mathematics
22,film/photography
26,politics
14,literature
51,film/photography
6,literature
53,mathematics
32,politics
4,literature
24,mathematics
45,business
57,business
2,literature
32,music
20,theatre
11,film/photography
21,theatre
21,mathematics
54,literature
50,music
44,film/photography
6,business
41,mathematics
38,literature
16,literature
39,mathematics
42,music
27,mathematics
40,mathematics
58,business
36,business
21,film/photography
9,business
23,music
38,politics
60,music
37,business
38,theatre
26,film/photography
48,politics
41,theatre
46,business
58,politics
41,literature
47,mathematics
36,film/photography
42,business
28,theatre
50,theatre
25,film/photography
31,politics
10,business
5,music
31,theatre
14,theatre
13,mathematics
40,literature
18,music
27,music
12,literature
45,theatre
33,theatre
25,literature
50,business
56,music
3,music
30,mathematics
12,business
46,film/photography
27,theatre
25,business
59,politics
53,politics
50,mathematics
24,music
19,theatre
11,literature
4,business
55,literature
51,politics
27,film/photography
58,mathematics
16,mathematics
44,literature
5,business
36,music
28,literature
28,mathematics
32,film/photography
16,theatre
16,business
41,film/photography
45,politics
15,mathematics
35,literature
33,politics
46,politics
22,music
49,literature
8,music
7,politics
21,music
3,theatre
2,film/photography
59,theatre
35,music
32,business
30,film/photography
53,theatre
56,literature
11,business
14,film/photography
47,literature
6,mathematics
48,film/photography
44,politics
8,politics
4,theatre
25,theatre
34,music
12,music
52,mathematics
18,literature
34,theatre
13,film/photography
35,business
2,music
7,theatre
2,business
33,business
49,theatre
29,politics
13,business
57,film/photography
56,politics
17,music
47,politics
38,music
29,music
13,music
44,theatre
33,music
11,mathematics
53,film/photography
52,music
59,mathematics
5,politics
20,mathematics
35,politics
30,theatre
1,film/photography
54,theatre
56,business
39,politics
26,literature
7,mathematics
43,music
18,politics
34,film/photography
22,mathematics
48,business
3,literature
8,business
55,music
48,music
59,film/photography
3,mathematics
4,music
9,theatre
60,film/photography
23,politics
15,business
43,politics
37,literature
28,film/photography
49,business
15,literature
9,music
54,mathematics
52,literature
29,mathematics
14,music
12,film/photography
22,theatre
20,literature
30,business
6,theatre
51,literature
29,literature
46,literature
19,politics
19,film/photography
8,theatre
49,mathematics
42,mathematics
57,music
1,mathematics
7,literature
1,politics
31,mathematics
24,literature
55,business
24,theatre
37,politics
47,film/photography
19,business
36,mathematics
10,music
1,theatre
5,theatre
9,mathematics
42,politics
39,theatre
31,literature
60,literature
52,politics
17,theatre
39,music
43,film/photography
34,business
60,mathematics
23,mathematics
17,business
18,mathematics
20,business
58,film/photography
54,music
17,politics
