id,type_of_attribute,trait
7,    weaKnEsses     ,unprepared
18,   wEAknESses    ,unprepared
8,    WeaKNeSSeS     ,procrastinator
17,wEaKNeSSes       ,unavailable
5,   wEAknESses    ,late
12,   stREngtHs     ,friendly
5,   WeAkNeSsEs ,unresponsive
6, strengths,quick learner
1,   stREngtHs     ,quick learner
13,   stREngtHs     ,friendly
12,wEaKNeSSes       ,late
13,weaknesses          ,dishonest
17,wEaKNeSSes       ,unresponsive
18,   WeAkNeSsEs ,controlling
20,sTrengtHS       ,team player
20,   WEAKNESSEs    ,unprepared
18,   wEAknESses    ,procrastinator
19,       STRENGTHS  ,good teacher
3,    weaKnEsses     ,unavailable
3,   WEAKNESSEs    ,late
1,   WEAKNESSEs    ,controlling
3,strengths    ,good teacher
1,   StreNgtHs   ,early starter
9,strengths      ,knowledgeable
11,   WeAkNeSsEs ,procrastinator
19,    WeaKNeSSeS     ,late
19,   wEAknESses    ,cutthroat
15,  sTRENgths  ,good teacher
17,sTrEnGthS ,quick learner
20,strengths    ,knowledgeable
10, strengths,prepared
19, strengths,prepared
2,sTrEnGthS ,friendly
12,strengths    ,knowledgeable
12,   wEAknESses    ,unavailable
2,sTRENgths    ,knowledgeable
11,    weaKnEsses     ,controlling
8,sTRENgths    ,honest
10,wEaKNeSSes       ,dishonest
5,   StreNgtHs   ,prepared
15,   wEAknESses    ,late
3,sTrengtHS       ,knowledgeable
11,sTrengtHS       ,knowledgeable
18, strengths,honest
2, strengths,honest
17,wEaKNeSSes       ,unfriendly
7,   wEAknESses    ,dishonest
13,   WEAKnessES   ,unresponsive
4,WEAKNESSES,unresponsive
7,   StreNgtHs   ,good leader
6,    weaKnEsses     ,unprepared
1,   WEAKNESSEs    ,dishonest
12, weaKnesses ,dishonest
3,wEaKNeSSes       ,controlling
4,  sTRENgths  ,friendly
18,   StreNgtHs   ,good teacher
20,WEAKNESSES,late
8,   WeAkNeSsEs ,cutthroat
6,   wEAknESses    ,controlling
6,   WeAkNeSsEs ,unresponsive
16, strengths,prepared
2,   wEAknESses    ,unresponsive
18,  sTRENgths  ,prepared
7,  sTRENgths  ,knowledgeable
11,   wEAknESses    ,dishonest
16,WEAKNESSES,late
9,strengths      ,friendly
14,   StreNgtHs   ,quick learner
18,   WEAKnessES   ,dishonest
15,strengths      ,knowledgeable
8, strengths,good teacher
16,  sTRENgths  ,knowledgeable
11,   StreNgtHs   ,quick learner
12,WEAKNESSES,unfriendly
16, weaKnesses ,controlling
1,    weaKnEsses     ,cutthroat
16,    WeaKNeSSeS     ,unavailable
2,    WeaKNeSSeS     ,dishonest
16,   StreNgtHs   ,early starter
3,sTrEnGthS ,early starter
9, weaKnesses ,controlling
13, strengths,good teacher
7, weaKnesses ,controlling
4,   WEAKnessES   ,dishonest
2,   WEAKnessES   ,controlling
10,    WeaKNeSSeS     ,procrastinator
5,sTrengtHS       ,early starter
14,   stREngtHs     ,good leader
9,   wEAknESses    ,cutthroat
13,    WeaKNeSSeS     ,procrastinator
3,WEAKNESSES,dishonest
9,strengths    ,quick learner
17,strengths      ,knowledgeable
6,       STRENGTHS  ,prepared
5,   WEAKnessES   ,controlling
10,sTrengtHS       ,quick learner
1,   wEAknESses    ,unavailable
9,weaknesses          ,unfriendly
11,weaknesses          ,unprepared
5,   wEAknESses    ,unprepared
1,sTrengtHS       ,team player
14,   wEAknESses    ,cutthroat
13,strengths      ,team player
19, strengths,early starter
20,   WEAKNESSEs    ,dishonest
7,    weaKnEsses     ,unresponsive
14,sTrEnGthS ,prepared
15,    WeaKNeSSeS     ,procrastinator
8,   WeAkNeSsEs ,controlling
4,    WeaKNeSSeS     ,controlling
19,wEaKNeSSes       ,controlling
15,sTRENgths    ,good leader
15,    weaKnEsses     ,unprepared
10,WEAKNESSES,cutthroat
5,sTrengtHS       ,good leader
13,   WeAkNeSsEs ,unavailable
16,   WEAKNESSEs    ,dishonest
6,    weaKnEsses     ,cutthroat
12,strengths    ,honest
4,strengths    ,honest
19,    weaKnEsses     ,dishonest
15,    weaKnEsses     ,unavailable
10,sTrengtHS       ,friendly
14,   wEAknESses    ,unavailable
14,wEaKNeSSes       ,procrastinator
20,sTrEnGthS ,good teacher
20,WEAKNESSES,unavailable
8,sTRENgths    ,quick learner
14,    weaKnEsses     ,late
9,   WEAKnessES   ,dishonest
10,wEaKNeSSes       ,late
11,   stREngtHs     ,friendly
6,strengths      ,good teacher
4,wEaKNeSSes       ,cutthroat
4,  sTRENgths  ,good teacher
17,strengths    ,good leader
7,       STRENGTHS  ,prepared
17,weaknesses          ,cutthroat
8, weaKnesses ,unprepared
2,weaknesses          ,procrastinator
