id,type_of_attribute,trait
58,       STRENGTHS  ,good teacher
42,   StreNgtHs   ,team player
18,   WEAKnessES   ,controlling
25,   WEAKNESSEs    ,procrastinator
39,    weaKnEsses     ,controlling
5,   WEAKNESSEs    ,procrastinator
6,sTRENgths    ,good leader
29,wEaKNeSSes       ,unprepared
35,wEaKNeSSes       ,unfriendly
16,   WeAkNeSsEs ,unprepared
40,sTrengtHS       ,friendly
49,   stREngtHs     ,good teacher
58,strengths    ,friendly
33,   stREngtHs     ,early starter
36,   WEAKnessES   ,controlling
58,wEaKNeSSes       ,procrastinator
19,    weaKnEsses     ,late
59,    WeaKNeSSeS     ,unavailable
19,   wEAknESses    ,unresponsive
37,   WeAkNeSsEs ,unprepared
57,    WeaKNeSSeS     ,dishonest
44,  sTRENgths  ,honest
21,   wEAknESses    ,unprepared
23,   wEAknESses    ,unavailable
22,   WeAkNeSsEs ,controlling
53,   stREngtHs     ,early starter
48,    weaKnEsses     ,unprepared
43,   WEAKnessES   ,cutthroat
45,    weaKnEsses     ,unfriendly
35,   StreNgtHs   ,team player
25,    WeaKNeSSeS     ,controlling
28,   WEAKnessES   ,controlling
45,   wEAknESses    ,unresponsive
8,   stREngtHs     ,good leader
55,   WEAKNESSEs    ,unavailable
2,wEaKNeSSes       ,unfriendly
34,strengths    ,quick learner
54,    weaKnEsses     ,procrastinator
38,strengths      ,friendly
21,wEaKNeSSes       ,unresponsive
41,strengths      ,team player
27, weaKnesses ,controlling
39,sTrengtHS       ,early starter
20,    WeaKNeSSeS     ,cutthroat
38,sTrEnGthS ,honest
21,strengths    ,team player
60,    weaKnEsses     ,unavailable
28, strengths,friendly
12, weaKnesses ,unfriendly
46,  sTRENgths  ,early starter
43,weaknesses          ,dishonest
33,WEAKNESSES,dishonest
18,  sTRENgths  ,honest
9,strengths      ,good teacher
23,   WEAKNESSEs    ,procrastinator
29,sTrengtHS       ,early starter
14,    WeaKNeSSeS     ,late
41,WEAKNESSES,late
24,   wEAknESses    ,controlling
42,    weaKnEsses     ,late
27,WEAKNESSES,procrastinator
45,       STRENGTHS  ,good teacher
39,strengths    ,team player
7,   WeAkNeSsEs ,dishonest
54, strengths,prepared
53,   wEAknESses    ,controlling
50,   wEAknESses    ,procrastinator
40,   WEAKNESSEs    ,procrastinator
24,   WeAkNeSsEs ,dishonest
44,    weaKnEsses     ,late
13,   stREngtHs     ,good teacher
26,   WeAkNeSsEs ,unavailable
7,WEAKNESSES,late
51,  sTRENgths  ,knowledgeable
1,weaknesses          ,dishonest
29,    weaKnEsses     ,controlling
3, strengths,early starter
20,   WeAkNeSsEs ,unprepared
14, strengths,early starter
16,   WeAkNeSsEs ,unfriendly
36,sTRENgths    ,quick learner
60,sTrEnGthS ,good teacher
4,strengths    ,honest
9,   WEAKNESSEs    ,controlling
14,weaknesses          ,procrastinator
41,sTrEnGthS ,prepared
26,   WEAKnessES   ,unfriendly
56,   WEAKNESSEs    ,controlling
59,    weaKnEsses     ,unprepared
25,strengths    ,quick learner
36,   wEAknESses    ,cutthroat
19,       STRENGTHS  ,friendly
37,strengths    ,good leader
8,    weaKnEsses     ,unresponsive
8,   stREngtHs     ,friendly
46,weaknesses          ,unfriendly
59,   StreNgtHs   ,honest
35,    WeaKNeSSeS     ,dishonest
28,sTrEnGthS ,honest
22, strengths,knowledgeable
20,   WeAkNeSsEs ,late
6,WEAKNESSES,unfriendly
32,    weaKnEsses     ,unresponsive
48,  sTRENgths  ,good teacher
33,WEAKNESSES,late
34,   WEAKNESSEs    ,unfriendly
50, weaKnesses ,late
2,    WeaKNeSSeS     ,late
19,   WEAKnessES   ,unavailable
3,WEAKNESSES,unfriendly
5,  sTRENgths  ,honest
51, weaKnesses ,unresponsive
37,sTRENgths    ,quick learner
25,   wEAknESses    ,dishonest
23,wEaKNeSSes       ,late
49,   WeAkNeSsEs ,unfriendly
4,WEAKNESSES,dishonest
31, weaKnesses ,cutthroat
52,weaknesses          ,procrastinator
17,  sTRENgths  ,good teacher
9,wEaKNeSSes       ,late
46,  sTRENgths  ,honest
15,weaknesses          ,unresponsive
49,    weaKnEsses     ,cutthroat
39,weaknesses          ,procrastinator
57,   wEAknESses    ,controlling
35,       STRENGTHS  ,quick learner
24,    weaKnEsses     ,unavailable
36,   StreNgtHs   ,friendly
47,       STRENGTHS  ,knowledgeable
8,    WeaKNeSSeS     ,cutthroat
32,sTrengtHS       ,knowledgeable
45,wEaKNeSSes       ,dishonest
21,sTrengtHS       ,good leader
12,WEAKNESSES,dishonest
22,    WeaKNeSSeS     ,late
43, strengths,good teacher
17,   WEAKnessES   ,unfriendly
30,   WEAKNESSEs    ,cutthroat
55,  sTRENgths  ,quick learner
5, weaKnesses ,dishonest
1,    WeaKNeSSeS     ,late
10,   WEAKnessES   ,controlling
50,strengths      ,team player
54,sTrEnGthS ,good teacher
14,WEAKNESSES,unprepared
7,strengths      ,knowledgeable
12, weaKnesses ,unprepared
3, strengths,good leader
19,sTrengtHS       ,knowledgeable
11,       STRENGTHS  ,early starter
52,weaknesses          ,controlling
45,  sTRENgths  ,early starter
17,wEaKNeSSes       ,procrastinator
57,sTRENgths    ,quick learner
28,   WEAKnessES   ,cutthroat
35,   WEAKnessES   ,procrastinator
46,weaknesses          ,unresponsive
38,   WEAKnessES   ,late
31,strengths    ,prepared
56,weaknesses          ,unavailable
30,strengths    ,good teacher
1,sTrEnGthS ,team player
5,    WeaKNeSSeS     ,unprepared
44,    WeaKNeSSeS     ,dishonest
24,sTrengtHS       ,team player
10,    weaKnEsses     ,unavailable
34,   stREngtHs     ,friendly
39,WEAKNESSES,unavailable
6,   WEAKNESSEs    ,dishonest
1,   WeAkNeSsEs ,unfriendly
46,   wEAknESses    ,dishonest
48,sTRENgths    ,early starter
9,sTRENgths    ,quick learner
