id,skill
17,algorithms
10,testing
48,commenting
5,commenting
22,data structures
38,testing
30,commenting
11,commenting
54,algorithms
27,OOP
51,testing
36,OOP
41,front-end
50,algorithms
2,testing
24,testing
46,OOP
14,OOP
3,commenting
45,commenting
9,commenting
44,front-end
40,OOP
33,commenting
15,OOP
32,algorithms
47,data structures
12,front-end
25,testing
59,data structures
34,data structures
35,testing
18,algorithms
26,OOP
29,OOP
16,commenting
8,algorithms
21,testing
37,testing
4,front-end
1,front-end
31,data structures
42,data structures
43,commenting
55,front-end
19,front-end
52,algorithms
39,data structures
57,front-end
7,OOP
53,commenting
6,testing
20,testing
60,testing
58,OOP
49,testing
23,testing
56,algorithms
13,front-end
28,testing
